top - 17:56:47 up 204 days,  9:44,  0 users,  load average: 24.02, 24.06, 22.04
Tasks: 886 total,  25 running, 861 sleeping,   0 stopped,   0 zombie
Cpu(s): 66.9%us,  2.0%sy,  0.0%ni, 31.0%id,  0.1%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  132170692k total, 41202688k used, 90968004k free,   226444k buffers
Swap:  9775548k total,     8848k used,  9766700k free, 29034344k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  150 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  151 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  152 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  153 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  154 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  155 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  156 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  157 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  158 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  159 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  160 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  161 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  162 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  163 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  164 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  165 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  166 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  167 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  168 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  169 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  170 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  171 root      20   0     0    0    0 S  0.0  0.0   0:20.54 cgroup             
  172 root      20   0     0    0    0 S  0.0  0.0   0:02.83 khelper            
  173 root      20   0     0    0    0 S  0.0  0.0   0:00.00 netns              
  174 root      20   0     0    0    0 S  0.0  0.0   0:00.00 async/mgr          
  175 root      20   0     0    0    0 S  0.0  0.0   0:00.00 pm                 
  176 root      20   0     0    0    0 S  0.0  0.0   1:16.20 sync_supers        
  177 root      20   0     0    0    0 S  0.0  0.0   1:15.80 bdi-default        
  178 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/0      
  179 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/1      
  180 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/2      
  181 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/3      
  182 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/4      
  183 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/5      
  184 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/6      
  185 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/7      
  186 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/8      
  187 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/9      
  188 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/10     
  189 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/11     
  190 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/12     
  191 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/13     
  192 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/14     
  193 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/15     
  194 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/16     
  195 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/17     
  196 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/18     
  197 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/19     
  198 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/20     
  199 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/21     
  200 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/22     
  201 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/23     
  202 root      20   0     0    0    0 S  0.0  0.0   0:02.96 kblockd/0          
  203 root      20   0     0    0    0 S  0.0  0.0   0:01.28 kblockd/1          
  204 root      20   0     0    0    0 S  0.0  0.0   0:00.74 kblockd/2          
  205 root      20   0     0    0    0 S  0.0  0.0   0:00.48 kblockd/3          
  206 root      20   0     0    0    0 S  0.0  0.0   0:00.98 kblockd/4          
  207 root      20   0     0    0    0 S  0.0  0.0   0:01.08 kblockd/5          
  208 root      20   0     0    0    0 S  0.0  0.0   0:09.37 kblockd/6          
  209 root      20   0     0    0    0 S  0.0  0.0   0:02.22 kblockd/7          
  210 root      20   0     0    0    0 S  0.0  0.0   0:00.79 kblockd/8          
  211 root      20   0     0    0    0 S  0.0  0.0   0:00.71 kblockd/9          
  212 root      20   0     0    0    0 S  0.0  0.0   0:01.21 kblockd/10         
  213 root      20   0     0    0    0 S  0.0  0.0   0:01.29 kblockd/11         
  214 root      20   0     0    0    0 S  0.0  0.0   0:02.28 kblockd/12         
  215 root      20   0     0    0    0 S  0.0  0.0   0:01.99 kblockd/13         
  216 root      20   0     0    0    0 S  0.0  0.0   0:00.58 kblockd/14         
  217 root      20   0     0    0    0 S  0.0  0.0   0:00.76 kblockd/15         
  218 root      20   0     0    0    0 S  0.0  0.0   0:00.75 kblockd/16         
  219 root      20   0     0    0    0 S  0.0  0.0   0:00.25 kblockd/17         
  220 root      20   0     0    0    0 S  0.0  0.0   0:01.60 kblockd/18         
  221 root      20   0     0    0    0 S  0.0  0.0   0:01.13 kblockd/19         
  222 root      20   0     0    0    0 S  0.0  0.0   0:00.57 kblockd/20         
  223 root      20   0     0    0    0 S  0.0  0.0   0:00.80 kblockd/21         
  224 root      20   0     0    0    0 S  0.0  0.0   0:00.62 kblockd/22         
  225 root      20   0     0    0    0 S  0.0  0.0   0:03.57 kblockd/23         
  226 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpid             
  227 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpi_notify       
  228 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpi_hotplug      
  229 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_aux            
  230 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/0          
  231 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/1          
  232 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/2          
  233 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/3          
  234 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/4          
  235 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/5          
  236 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/6          
  237 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/7          
  238 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/8          
  239 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/9          
  240 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/10         
  241 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/11         
  242 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/12         
  243 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/13         
  244 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/14         
  245 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/15         
  246 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/16         
  247 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/17         
  248 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/18         
  249 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/19         
  250 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/20         
  251 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/21         
  252 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/22         
  253 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/23         
  254 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ksuspend_usbd      
  255 root      20   0     0    0    0 S  0.0  0.0   0:01.69 khubd              
