#---it----------t---------itype-iproc---l-----m-----n-------x------------y------------z-----------rho---------rhom----------TT-----------EE----------Ekin----------Ecr--------t_sedov------radius------site_Nsol------maxTT------t_interval----SN_rate--
     17843  0.49253E-01     2     9    12     5    29  0.34000E-01 -0.74000E-01 -0.38000E-01  0.51561E+00  0.51300E+00  0.20125E+03  0.21269E+00 -0.14901E-07  0.00000E+00  0.11646E-03  0.20000E-01  0.42501E+03  0.10490E+05  0.35160E-03  0.13024E-02
     18146  0.49605E-01     2    15     4     5    10  0.20000E-02  0.60000E-02  0.26000E-01  0.30447E+00  0.91393E+00  0.19892E+03  0.21145E+00  0.10203E-01  0.00000E+00  0.15544E-03  0.20000E-01  0.75717E+03  0.16685E+05  0.14712E-02  0.13024E-02
     19131  0.51078E-01     2    12    17     4    13 -0.26000E-01 -0.78000E-01  0.38000E-01  0.37742E+00  0.47857E+00  0.11898E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.11248E-03  0.20000E-01  0.39648E+03  0.15490E+05  0.37054E-03  0.13024E-02
     19521  0.51450E-01     2    10    12    11    33 -0.46000E-01  0.30000E-01 -0.22000E-01  0.88671E+00  0.28183E+01  0.77749E+02  0.21211E+00  0.37883E-02  0.00000E+00  0.27296E-03  0.20000E-01  0.23349E+04  0.11141E+05  0.84008E-04  0.13024E-02
     19702  0.51534E-01     2     8     7    10    18 -0.66000E-01 -0.54000E-01 -0.82000E-01  0.35921E+00  0.35943E+00  0.21584E+03  0.21229E+00  0.00000E+00  0.00000E+00  0.97477E-04  0.20000E-01  0.29778E+03  0.16416E+05  0.74730E-03  0.13024E-02
     20304  0.52282E-01     2    13    10     7    34  0.26000E-01 -0.66000E-01  0.12200E+00  0.19309E+00  0.20891E+00  0.22037E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.89516E-04  0.21546E-01  0.21639E+03  0.22196E+05  0.99702E-03  0.13024E-02
     20982  0.53281E-01     2    15     7    23    24  0.14000E-01  0.78000E-01  0.82000E-01  0.31901E+00  0.27499E+00  0.27048E+03  0.21269E+00  0.14901E-07  0.00000E+00  0.85263E-04  0.20000E-01  0.22782E+03  0.70944E+05  0.85992E-03  0.13024E-02
     21652  0.54143E-01     2    12    16    12     8 -0.30000E-01 -0.46000E-01  0.18000E-01  0.21035E+00  0.49539E+00  0.15829E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.11528E-03  0.20059E-01  0.41404E+03  0.27546E+05  0.15445E-02  0.13024E-02
     22753  0.55689E-01     2    14     5     8    37 -0.74000E-01  0.18000E-01  0.13400E+00  0.24812E+00  0.24761E+00  0.21629E+03  0.20616E+00  0.14901E-07  0.00000E+00  0.85425E-04  0.20440E-01  0.21896E+03  0.22202E+05  0.87132E-03  0.13024E-02
     23414  0.56562E-01     2     5     9    14    31  0.22000E-01 -0.38000E-01 -0.17000E+00  0.61857E-01  0.68279E-01  0.50604E+03  0.21244E+00  0.00000E+00  0.00000E+00  0.12158E-03  0.30456E-01  0.19976E+03  0.31868E+05  0.12279E-02  0.13024E-02
